Nome do Rio;Nome do Municipio;Sigla do Estado;length_m;Frequencia;Impacto;Vulnerabilidade;Nota_de_Risco;Classificacao_Risco;Pais
sem nome;Aimorés;MG;9684,256664;Alta;Baixo;Média;4;Moderado;Brasil
sem nome;Alagoa;MG;7142,677391;Alta;Baixo;Média;4;Moderado;Brasil
sem nome;Albertina;MG;16717,75061;Alta;Baixo;Média;4;Moderado;Brasil
sem nome;Alfenas;MG;21648,71632;Alta;Baixo;Média;4;Moderado;Brasil
sem nome;Alterosa;MG;10249,90624;Alta;Baixo;Média;4;Moderado;Brasil
sem nome;Andradas;MG;65539,55463;Alta;Baixo;Média;4;Moderado;Brasil
sem nome;Araporã;MG;28655,88159;Alta;Baixo;Média;4;Moderado;Brasil
sem nome;Arapuá;MG;8315,828266;Alta;Baixo;Média;4;Moderado;Brasil
sem nome;Arcos;MG;27844,55906;Alta;Baixo;Média;4;Moderado;Brasil
sem nome;Augusto de Lima;MG;23563,0344;Alta;Baixo;Média;4;Moderado;Brasil
sem nome;Barbacena;MG;12667,62285;Alta;Baixo;Média;4;Moderado;Brasil
sem nome;Barra Longa;MG;5514,277251;Alta;Baixo;Média;4;Moderado;Brasil
sem nome;Barão do Monte Alto;MG;47526,51768;Alta;Baixo;Média;4;Moderado;Brasil
sem nome;Boa Esperança;MG;20427,0883;Alta;Baixo;Média;4;Moderado;Brasil
sem nome;Bom Repouso;MG;13392,03958;Alta;Baixo;Média;4;Moderado;Brasil
sem nome;Brazópolis;MG;23038,35474;Alta;Baixo;Média;4;Moderado;Brasil
sem nome;Buenópolis;MG;10351,03309;Alta;Baixo;Média;4;Moderado;Brasil
sem nome;Cachoeira de Minas;MG;42122,29908;Alta;Baixo;Média;4;Moderado;Brasil
sem nome;Caiana;MG;23209,19124;Alta;Baixo;Média;4;Moderado;Brasil
sem nome;Caldas;MG;10118,74928;Alta;Baixo;Média;4;Moderado;Brasil
sem nome;Campos Gerais;MG;11398,81008;Alta;Baixo;Média;4;Moderado;Brasil
sem nome;Capim Branco;MG;3184,381152;Alta;Baixo;Média;4;Moderado;Brasil
sem nome;Carangola;MG;19537,49529;Alta;Baixo;Média;4;Moderado;Brasil
sem nome;Carmo da Mata;MG;30709,42434;Alta;Baixo;Média;4;Moderado;Brasil
sem nome;Carmo do Rio Claro;MG;51182,74014;Alta;Baixo;Média;4;Moderado;Brasil
sem nome;Carmópolis de Minas;MG;30709,42434;Alta;Baixo;Média;4;Moderado;Brasil
sem nome;Carvalhos;MG;6400,833277;Alta;Baixo;Média;4;Moderado;Brasil
sem nome;Casa Grande;MG;6322,961684;Alta;Baixo;Média;4;Moderado;Brasil
sem nome;Cataguases;MG;7422,213665;Alta;Baixo;Média;4;Moderado;Brasil
sem nome;Chalé;MG;4255,383219;Alta;Baixo;Média;4;Moderado;Brasil
sem nome;Conceição dos Ouros;MG;23038,35474;Alta;Baixo;Média;4;Moderado;Brasil
sem nome;Confins;MG;5015,735194;Alta;Baixo;Média;4;Moderado;Brasil
sem nome;Divino;MG;13576,16923;Alta;Baixo;Média;4;Moderado;Brasil
sem nome;Divinópolis;MG;15726,71492;Alta;Baixo;Média;4;Moderado;Brasil
sem nome;Dom Cavati;MG;12580,4914;Alta;Baixo;Média;4;Moderado;Brasil
sem nome;Ervália;MG;6400,483426;Alta;Baixo;Média;4;Moderado;Brasil
sem nome;Espera Feliz;MG;27668,13326;Alta;Baixo;Média;4;Moderado;Brasil
sem nome;Eugenópolis;MG;10186,29145;Alta;Baixo;Média;4;Moderado;Brasil
sem nome;Formiga;MG;27844,55906;Alta;Baixo;Média;4;Moderado;Brasil
sem nome;Governador Valadares;MG;29791,8884;Alta;Baixo;Média;4;Moderado;Brasil
sem nome;Guiricema;MG;19477,78955;Alta;Baixo;Média;4;Moderado;Brasil
