municipio,uf,latitude,longitude,nota_de_risco,nome,codigo_ibge
Abadia de Goiás,52,-16.7573,-49.4412,2.59,Abadia de Goiás,5200050
Abadia dos Dourados,31,-18.4831,-47.3916,2.77,Abadia dos Dourados,3100104
Abadiânia,52,-16.197,-48.7057,2.77,Abadiânia,5200100
Abaeté,31,-19.1551,-45.4444,2.22,Abaeté,3100203
Abaetetuba,15,-1.72183,-48.8788,2.25,Abaetetuba,1500107
Abaiara,23,-7.34588,-39.0416,4.61,Abaiara,2300101
Abaíra,29,-13.2488,-41.6619,2.85,Abaíra,2900108
Abaré,29,-8.72073,-39.1162,2.99,Abaré,2900207
Abatiá,41,-23.3049,-50.3133,1.55,Abatiá,4100103
Abdon Batista,42,-27.6126,-51.0233,6.49,Abdon Batista,4200051
Abel Figueiredo,15,-4.95333,-48.3933,2.97,Abel Figueiredo,1500131
Abelardo Luz,42,-26.5716,-52.3229,6.04,Abelardo Luz,4200101
Abre Campo,31,-20.2996,-42.4743,2.22,Abre Campo,3100302
Abreu e Lima,26,-7.90072,-34.8984,5.94,Abreu e Lima,2600054
Abreulândia,17,-9.62101,-49.1518,3.34,Abreulândia,1700251
Acaiaca,31,-20.359,-43.1439,2.22,Acaiaca,3100401
Açailândia,21,-4.94714,-47.5004,2.74,Açailândia,2100055
Acajutiba,29,-11.6575,-38.0197,2.32,Acajutiba,2900306
Acará,15,-1.95383,-48.1985,2.25,Acará,1500206
Acarape,23,-4.22083,-38.7055,7.32,Acarape,2300150
Acaraú,23,-2.88769,-40.1183,3.74,Acaraú,2300200
Acari,24,-6.4282,-36.6347,3.42,Acari,2400109
Acauã,22,-8.21954,-41.0831,3.54,Acauã,2200053
Aceguá,43,-31.8665,-54.1615,2.13,Aceguá,4300034
Acopiara,23,-6.08911,-39.448,3.37,Acopiara,2300309
Acorizal,51,-15.194,-56.3632,4.06,Acorizal,5100102
Acrelândia,12,-9.82581,-66.8972,7.77,Acrelândia,1200013
Acreúna,52,-17.396,-50.3749,1.96,Acreúna,5200134
Açu,24,-5.58362,-36.914,3.11,Açu,2400208
Açucena,31,-19.0671,-42.5419,2.07,Açucena,3100500
Adamantina,35,-21.682,-51.0737,1.87,Adamantina,3500105
Adelândia,52,-16.4127,-50.1657,1.84,Adelândia,5200159
Adolfo,35,-21.2325,-49.6451,2.36,Adolfo,3500204
Adrianópolis,41,-24.6606,-48.9922,3.09,Adrianópolis,4100202
Adustina,29,-10.5437,-38.1113,2.36,Adustina,2900355
Afogados da Ingazeira,26,-7.74312,-37.631,3.92,Afogados da Ingazeira,2600104
Afonso Bezerra,24,-5.49229,-36.5075,3.71,Afonso Bezerra,2400307
Afonso Cláudio,32,-20.0778,-41.1261,1.78,Afonso Cláudio,3200102
Afonso Cunha,21,-4.13631,-43.3275,3.22,Afonso Cunha,2100105
Afrânio,26,-8.51136,-41.0095,3.92,Afrânio,2600203
Afuá,15,-0.154874,-50.3861,2.96,Afuá,1500305
Agrestina,26,-8.45966,-35.9447,3.74,Agrestina,2600302
Agricolândia,22,-5.79676,-42.6664,3.66,Agricolândia,2200103
Agrolândia,42,-27.4087,-49.822,10.0,Agrolândia,4200200
Agronômica,42,-27.2662,-49.708,10.0,Agronômica,4200309
Água Azul do Norte,15,-6.79053,-50.4791,2.7,Água Azul do Norte,1500347
Água Boa,31,-17.9914,-42.3806,2.02,Água Boa,3100609
Água Boa,31,-17.9914,-42.3806,2.02,Água Boa,5100201
Água Boa,51,-14.051,-52.1601,2.74,Água Boa,3100609
Água Boa,51,-14.051,-52.1601,2.74,Água Boa,5100201
Água Branca,22,-5.88856,-42.637,3.66,Água Branca,2200202
Água Branca,22,-5.88856,-42.637,3.66,Água Branca,2500106
Água Branca,22,-5.88856,-42.637,3.66,Água Branca,2700102
Água Branca,25,-7.51144,-37.6357,3.63,Água Branca,2200202
Água Branca,25,-7.51144,-37.6357,3.63,Água Branca,2500106
Água Branca,25,-7.51144,-37.6357,3.63,Água Branca,2700102
Água Branca,27,-9.262,-37.938,2.54,Água Branca,2200202
Água Branca,27,-9.262,-37.938,2.54,Água Branca,2500106
Água Branca,27,-9.262,-37.938,2.54,Água Branca,2700102
Água Clara,50,-20.4452,-52.879,2.3,Água Clara,5000203
Água Comprida,31,-20.0576,-48.1069,2.16,Água Comprida,3100708
Água Doce,42,-26.9985,-51.5528,10.0,Água Doce,4200408
Água Doce do Maranhão,21,-2.84048,-42.1189,3.11,Água Doce do Maranhão,2100154
Água Doce do Norte,32,-18.5482,-40.9854,1.96,Água Doce do Norte,3200169
Água Fria,29,-11.8618,-38.7639,2.59,Água Fria,2900405
Água Fria de Goiás,52,-14.9778,-47.7823,3.28,Água Fria de Goiás,5200175
Água Limpa,52,-18.0771,-48.7603,3.11,Água Limpa,5200209
Água Nova,24,-6.20351,-38.2941,4.06,Água Nova,2400406
Água Preta,26,-8.70609,-35.5263,6.9,Água Preta,2600401
Água Santa,43,-28.1672,-52.031,3.22,Água Santa,4300059
